Linha,011
Tabela,001-2
num,ponto,horario
141011,ESTAÇÃO PUC (SENTIDO ANTI-HORÁRIO),16:55
120104,PREFEITURA (SENT.ANTI-HORARIO),17:30
141011,ESTAÇÃO PUC (SENTIDO ANTI-HORÁRIO),18:35
120104,PREFEITURA (SENT.ANTI-HORARIO),19:15
141011,ESTAÇÃO PUC (SENTIDO ANTI-HORÁRIO),20:00
120104,PREFEITURA (SENT.ANTI-HORARIO),20:25
141011,ESTAÇÃO PUC (SENTIDO ANTI-HORÁRIO),21:00
120104,PREFEITURA (SENT.ANTI-HORARIO),21:25
141011,ESTAÇÃO PUC (SENTIDO ANTI-HORÁRIO),22:00
120104,PREFEITURA (SENT.ANTI-HORARIO),22:25
141011,ESTAÇÃO PUC (SENTIDO ANTI-HORÁRIO),23:00
120104,PREFEITURA (SENT.ANTI-HORARIO),23:25
141011,ESTAÇÃO PUC (SENTIDO ANTI-HORÁRIO),00:00
