Linha,010
Tabela,001-2
num,ponto,horario
141010,ESTAÇÃO PUC (SENTIDO HORÁRIO),16:38
121012,PREFEITURA (SENTIDO HORARIO),17:28
141010,ESTAÇÃO PUC (SENTIDO HORÁRIO),17:56
121012,PREFEITURA (SENTIDO HORARIO),18:54
141010,ESTAÇÃO PUC (SENTIDO HORÁRIO),19:30
121012,PREFEITURA (SENTIDO HORARIO),20:04
141010,ESTAÇÃO PUC (SENTIDO HORÁRIO),20:32
121012,PREFEITURA (SENTIDO HORARIO),21:07
141010,ESTAÇÃO PUC (SENTIDO HORÁRIO),21:35
121012,PREFEITURA (SENTIDO HORARIO),22:09
141010,ESTAÇÃO PUC (SENTIDO HORÁRIO),22:36
121012,PREFEITURA (SENTIDO HORARIO),23:06
141010,ESTAÇÃO PUC (SENTIDO HORÁRIO),23:32
