Linha,010
Tabela,002-2
num,ponto,horario
141010,ESTAÇÃO PUC (SENTIDO HORÁRIO),17:05
121012,PREFEITURA (SENTIDO HORARIO),17:57
141010,ESTAÇÃO PUC (SENTIDO HORÁRIO),18:40
121012,PREFEITURA (SENTIDO HORARIO),19:30
141010,ESTAÇÃO PUC (SENTIDO HORÁRIO),20:06
121012,PREFEITURA (SENTIDO HORARIO),20:40
141010,ESTAÇÃO PUC (SENTIDO HORÁRIO),21:06
121012,PREFEITURA (SENTIDO HORARIO),21:40
141010,ESTAÇÃO PUC (SENTIDO HORÁRIO),22:06
121012,PREFEITURA (SENTIDO HORARIO),22:40
141010,ESTAÇÃO PUC (SENTIDO HORÁRIO),23:06
121012,PREFEITURA (SENTIDO HORARIO),23:36
141010,ESTAÇÃO PUC (SENTIDO HORÁRIO),00:00
