Linha,010
Tabela,002-2
num,ponto,horario
141010,ESTAÇÃO PUC (SENTIDO HORÁRIO),12:20
121012,PREFEITURA (SENTIDO HORARIO),12:58
141010,ESTAÇÃO PUC (SENTIDO HORÁRIO),13:26
121012,PREFEITURA (SENTIDO HORARIO),14:04
141010,ESTAÇÃO PUC (SENTIDO HORÁRIO),14:32
121012,PREFEITURA (SENTIDO HORARIO),15:10
141010,ESTAÇÃO PUC (SENTIDO HORÁRIO),15:38
121012,PREFEITURA (SENTIDO HORARIO),16:14
141010,ESTAÇÃO PUC (SENTIDO HORÁRIO),16:42
121012,PREFEITURA (SENTIDO HORARIO),17:18
141010,ESTAÇÃO PUC (SENTIDO HORÁRIO),17:46
121012,PREFEITURA (SENTIDO HORARIO),18:22
141010,ESTAÇÃO PUC (SENTIDO HORÁRIO),18:50
121012,PREFEITURA (SENTIDO HORARIO),19:26
141010,ESTAÇÃO PUC (SENTIDO HORÁRIO),19:54
121012,PREFEITURA (SENTIDO HORARIO),20:30
141010,ESTAÇÃO PUC (SENTIDO HORÁRIO),20:56
121012,PREFEITURA (SENTIDO HORARIO),21:28
141010,ESTAÇÃO PUC (SENTIDO HORÁRIO),21:54
121012,PREFEITURA (SENTIDO HORARIO),22:26
141010,ESTAÇÃO PUC (SENTIDO HORÁRIO),22:52
121012,PREFEITURA (SENTIDO HORARIO),23:24
141010,ESTAÇÃO PUC (SENTIDO HORÁRIO),23:50
