Linha,010
Tabela,001-2
num,ponto,horario
141010,ESTAÇÃO PUC (SENTIDO HORÁRIO),12:42
121012,PREFEITURA (SENTIDO HORARIO),13:16
141010,ESTAÇÃO PUC (SENTIDO HORÁRIO),13:44
121012,PREFEITURA (SENTIDO HORARIO),14:18
141010,ESTAÇÃO PUC (SENTIDO HORÁRIO),14:46
121012,PREFEITURA (SENTIDO HORARIO),15:20
141010,ESTAÇÃO PUC (SENTIDO HORÁRIO),15:48
121012,PREFEITURA (SENTIDO HORARIO),16:22
141010,ESTAÇÃO PUC (SENTIDO HORÁRIO),16:50
121012,PREFEITURA (SENTIDO HORARIO),17:24
141010,ESTAÇÃO PUC (SENTIDO HORÁRIO),17:52
121012,PREFEITURA (SENTIDO HORARIO),18:26
141010,ESTAÇÃO PUC (SENTIDO HORÁRIO),18:54
121012,PREFEITURA (SENTIDO HORARIO),19:28
141010,ESTAÇÃO PUC (SENTIDO HORÁRIO),19:56
121012,PREFEITURA (SENTIDO HORARIO),20:30
141010,ESTAÇÃO PUC (SENTIDO HORÁRIO),20:56
121012,PREFEITURA (SENTIDO HORARIO),21:28
141010,ESTAÇÃO PUC (SENTIDO HORÁRIO),21:54
121012,PREFEITURA (SENTIDO HORARIO),22:26
141010,ESTAÇÃO PUC (SENTIDO HORÁRIO),22:52
121012,PREFEITURA (SENTIDO HORARIO),23:24
141010,ESTAÇÃO PUC (SENTIDO HORÁRIO),23:50
